wl,n,k
0.542235596,2.072119,0.011234000000000001
0.543826294,2.071372,0.011113
0.5454169919999999,2.0706330000000004,0.010992
0.54700769,2.069903,0.01087
0.5485982669999999,2.06918,0.010749
0.550188904,2.068465,0.010629000000000001
0.551779541,2.067757,0.010508
0.5533701169999999,2.067057,0.010387
0.554960693,2.066364,0.010267
0.55655127,2.0656779999999997,0.010145999999999999
0.5581417849999999,2.0649990000000003,0.010026
0.5597323,2.064327,0.009907
0.561322815,2.063661,0.009787
0.562913269,2.063002,0.009668000000000001
0.5645037230000001,2.062349,0.009549
0.566094116,2.061703,0.00943
0.56768457,2.0610619999999997,0.009312
0.5692749629999999,2.060428,0.009193999999999999
0.570865295,2.0597990000000004,0.009076
0.572455688,2.059176,0.008959
0.574045959,2.058559,0.008843
0.575636292,2.057948,0.008727
0.577226501,2.057342,0.008611
0.578816772,2.056741,0.008496
0.5804069820000001,2.056146,0.008381999999999999
0.581997192,2.055557,0.008268000000000001
0.5835873410000001,2.0549720000000002,0.008154999999999999
0.585177551,2.054392,0.008042
0.586767639,2.053818,0.007931
0.588357788,2.053248,0.007819
0.589947815,2.052684,0.007709000000000001
0.5915378419999999,2.052124,0.007599
0.593127869,2.0515689999999998,0.007490000000000001
0.594717896,2.051018,0.007381
0.596307861,2.050472,0.007273999999999999
0.597897766,2.049931,0.007167
0.599487671,2.049395,0.007061
0.601077576,2.0488619999999997,0.006954999999999999
0.602667419,2.048335,0.006851
0.604257202,2.0478110000000003,0.0067469999999999995
0.605847046,2.0472919999999997,0.006644
0.607436829,2.046777,0.006542
0.60902655,2.046267,0.006441
0.610616272,2.04576,0.006340999999999999
0.6122059329999999,2.045258,0.006241
0.613795532,2.044759,0.006142
0.6153851929999999,2.044265,0.006045
0.6169747309999999,2.043774,0.005947999999999999
0.618564331,2.043288,0.005852
0.62015387,2.042805,0.005757
0.621743347,2.0423270000000002,0.0056619999999999995
0.623332825,2.041852,0.005569
0.6249222409999999,2.0413810000000003,0.005477
0.6265115969999999,2.040913,0.005385
